id_calle;nombre_calle;altura_esquina_inicial_par;altura_esquina_final_par;altura_esquina_inicial_impar;altura_esquina_final_impar;id_barrio_esquina_inicial_par;nombre_barrio_esquina_inicial_par;id_barrio_esquina_final_par;nombre_barrio_esquina_final_par;id_barrio_esquina_inicial_impar;nombre_barrio_esquina_inicial_impar;id_barrio_esquina_final_impar;nombre_barrio_esquina_final_impar
16025;11 DE SEPTIEMBRE DE 1888;0;0;0;0;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido
16025;11 DE SEPTIEMBRE DE 1888;0;0;0;0;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido
16025;11 DE SEPTIEMBRE DE 1888;702;800;701;799;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;802;900;801;899;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;902;1000;901;999;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;1002;1100;1001;1099;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;1102;1200;1101;1199;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;1202;1300;1201;1299;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;1302;1400;1301;1399;33;Palermo;33;Palermo;33;Palermo;33;Palermo
16025;11 DE SEPTIEMBRE DE 1888;1402;1500;1401;1499;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;1502;1600;1501;1599;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;1602;1700;1601;1699;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;1702;1800;1701;1799;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;1802;1900;1801;1899;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;1902;2000;1901;1999;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2102;2200;2101;2199;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2202;2300;2201;2299;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2302;2400;2301;2399;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2402;2450;2401;2449;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2452;2500;2451;2499;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2502;2600;2501;2599;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2602;2700;2601;2699;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2702;2800;2701;2799;45;Belgrano;45;Belgrano;45;Belgrano;45;Belgrano
16025;11 DE SEPTIEMBRE DE 1888;2802;2900;2801;2899;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;2902;3000;2901;2999;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3002;3100;3001;3099;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3102;3200;3101;3199;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3202;3300;3201;3299;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3302;3400;3301;3399;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3402;3500;3401;3499;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3502;3600;3501;3599;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3602;3700;3601;3699;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3702;3800;3701;3799;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3802;3900;3801;3899;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;3902;4000;3901;3999;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4002;4100;4001;4099;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4102;4150;4101;4149;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4152;4200;4151;4199;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4202;4300;4201;4299;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4302;4400;4301;4399;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4402;4500;4401;4499;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4502;4600;4501;4599;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4602;4700;4601;4699;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4702;4800;4701;4799;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
16025;11 DE SEPTIEMBRE DE 1888;4802;4900;4801;4899;41;Nuñez;41;Nuñez;41;Nuñez;41;Nuñez
4080;12 DE OCTUBRE;0;0;0;0;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido
4080;12 DE OCTUBRE;1602;1700;1601;1699;2;Paternal;2;Paternal;2;Paternal;2;Paternal
4080;12 DE OCTUBRE;1702;1800;1701;1799;2;Paternal;2;Paternal;2;Paternal;2;Paternal
4080;12 DE OCTUBRE;1802;1900;1801;1899;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;0;0;0;0;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido
3102;14 DE JULIO;2;20;1;19;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;22;50;21;49;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;52;100;51;99;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;102;150;101;149;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;152;200;151;199;2;Paternal;2;Paternal;2;Paternal;2;Paternal
3102;14 DE JULIO;202;300;201;299;28;Villa Ortúzar;28;Villa Ortúzar;2;Paternal;28;Villa Ortúzar
3102;14 DE JULIO;302;400;301;399;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;402;500;401;499;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;502;600;501;599;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;602;700;601;699;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;702;720;701;719;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;722;800;721;799;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;802;900;801;899;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;902;1000;901;999;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1002;1100;1001;1099;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1102;1200;1101;1199;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1202;1300;1201;1299;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1302;1348;1301;1349;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1350;1400;1351;1399;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1402;1500;1401;1499;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1502;1600;1501;1599;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
3102;14 DE JULIO;1602;1700;1601;1699;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar;28;Villa Ortúzar
18009;15 DE NOVIEMBRE DE 1889;0;0;0;0;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido;-1;ERROR: Barrio Desconocido
18009;15 DE NOVIEMBRE DE 1889;1102;1150;1101;1149;11;Constitución;11;Constitución;11;Constitución;11;Constitución
18009;15 DE NOVIEMBRE DE 1889;1152;1200;1151;1199;11;Constitución;11;Constitución;11;Constitución;11;Constitución
18009;15 DE NOVIEMBRE DE 1889;1202;1300;1201;1299;11;Constitución;11;Constitución;11;Constitución;11;Constitución
18009;15 DE NOVIEMBRE DE 1889;1302;1400;1301;1399;11;Constitución;11;Constitución;11;Constitución;11;Constitución
18009;15 DE NOVIEMBRE DE 1889;1402;1500;1401;1499;11;Constitución;11;Constitución;11;Constitución;11;Constitución
18009;15 DE NOVIEMBRE DE 1889;1502;1600;1501;1599;11;Constitución;11;Constitución;11;Constitución;11;Constitución
